Symbol,Date,Signal,Confidence,Type,Condition,ATRpct,Pattern detected,Breakout
MAT,2025-12-19,Stage: Mark-Up,65.0,WATCH,STAGE,,Triple Bottom,No
MAT,2025-12-19,SELL_TGT_6w:21.2357,5.81,TARGET,SELL_TGT_6w,3.19,Triple Bottom,No
MAT,2025-12-19,SELL_TGT_8w:21.2357,5.81,TARGET,SELL_TGT_8w,3.19,Triple Bottom,No
MAT,2025-12-19,SELL_TGT_12w:21.0929,5.1,TARGET,SELL_TGT_12w,3.19,Triple Bottom,No
MAT,2025-12-19,SELL_TGT_18w:21.0929,5.1,TARGET,SELL_TGT_18w,3.19,Triple Bottom,No
MAT,2025-12-19,SELL_TGT_30w:21.0929,5.1,TARGET,SELL_TGT_30w,3.19,Triple Bottom,No
ABT,2025-12-19,Stage: Accumulation,100.0,WATCH,STAGE,,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_6w:128.9877,2.82,TARGET,SELL_TGT_6w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_8w:128.9877,2.82,TARGET,SELL_TGT_8w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_12w:128.4129,2.36,TARGET,SELL_TGT_12w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_18w:128.4129,2.36,TARGET,SELL_TGT_18w,1.96,Double Bottom,Yes
ABT,2025-12-19,SELL_TGT_30w:128.4129,2.36,TARGET,SELL_TGT_30w,1.96,Double Bottom,Yes
BILI,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Double Bottom,No
BILI,2025-12-19,SELL_TGT_6w:27.1975,9.76,TARGET,SELL_TGT_6w,2.59,Double Bottom,No
BILI,2025-12-19,SELL_TGT_8w:27.1975,9.76,TARGET,SELL_TGT_8w,2.59,Double Bottom,No
BILI,2025-12-19,SELL_TGT_12w:26.9292,8.67,TARGET,SELL_TGT_12w,2.59,Double Bottom,No
BILI,2025-12-19,SELL_TGT_18w:26.9292,8.67,TARGET,SELL_TGT_18w,2.59,Double Bottom,No
BILI,2025-12-19,SELL_TGT_30w:26.9292,8.67,TARGET,SELL_TGT_30w,2.59,Double Bottom,No
SizePct
BILI,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,2.59,Double Bottom,No,2.5
HUT,2025-12-19,Stage: Mark-Up,70.0,WATCH,STAGE,,,No
HUT,2025-12-19,SELL_TGT_6w:45.5983,3.35,TARGET,SELL_TGT_6w,10.97,,No
HUT,2025-12-19,SELL_TGT_8w:45.5983,3.35,TARGET,SELL_TGT_8w,10.97,,No
HUT,2025-12-19,SELL_TGT_12w:44.5305,0.93,TARGET,SELL_TGT_12w,10.97,,No
HUT,2025-12-19,SELL_TGT_18w:44.5305,0.93,TARGET,SELL_TGT_18w,10.97,,No
HUT,2025-12-19,SELL_TGT_30w:44.5305,0.93,TARGET,SELL_TGT_30w,10.97,,No
SizePct
HUT,2025-12-20,Overbought (>27% above 200 DEMA),21.0,SELL,Overbought (>27% above 200 DEMA),10.97,-,No,1.05
SizePct
HUT,2025-12-20,MACD Bearish below zero,21.0,SELL,MACD Bearish below zero,10.97,-,No,1.05
SizePct
HUT,2025-12-20,Watch: Near 50-DEMA with MACD/ADX/Vol OK,45.0,WATCH,Near50,10.97,-,No,0.0
SCHH,2025-12-19,Stage: Accumulation,85.0,WATCH,STAGE,,Triple Bottom,No
SCHH,2025-12-19,SELL_TGT_6w:21.5685,4.2,TARGET,SELL_TGT_6w,0.99,Triple Bottom,No
SCHH,2025-12-19,SELL_TGT_8w:21.5685,4.2,TARGET,SELL_TGT_8w,0.99,Triple Bottom,No
SCHH,2025-12-19,SELL_TGT_12w:21.5141,3.93,TARGET,SELL_TGT_12w,0.99,Triple Bottom,No
SCHH,2025-12-19,SELL_TGT_18w:21.5141,3.93,TARGET,SELL_TGT_18w,0.99,Triple Bottom,No
SCHH,2025-12-19,SELL_TGT_30w:21.5141,3.93,TARGET,SELL_TGT_30w,0.99,Triple Bottom,No
SizePct
SCHH,2025-12-20,MACD Bearish below zero,50.0,SELL,MACD Bearish below zero,0.99,Triple Bottom,No,2.5
ECL,2025-12-19,Stage: Accumulation,70.0,WATCH,STAGE,,Double Bottom,Yes
