symbol,MACD_Bullish,RSI_Oversold_Reversal,Volume_Surge,sector,undervalued,ema_bullish,bb_squeeze,rs_vs_proxy,avg_dollar_vol,passes_liquidity,drop_rebound_5%_success_rate,drop_rebound_10%_success_rate,events_10,drop_rebound_15%_success_rate,drop_rebound_20%_success_rate,events_20,drop_rebound_25%_success_rate,drop_rebound_30%_success_rate,events_25,events_30,q_demand_date,q_demand_proximal,q_demand_distal,q_demand_width,q_demand_delta,q_demand_distance,q_demand_distance_pct,q_demand_near,q_supply_date,q_supply_proximal,q_supply_distal,q_supply_width,q_supply_delta,q_supply_distance,q_supply_distance_pct,q_supply_near,score,label
SMR,False,False,False,Nuclear,False,True,False,False,5308097.653255,True,84.38,85.0,60,82.46,79.59,49,84.78,85.71,46,35,2024-06-30,11.69,0.13,11.559999999999999,26.310000000000002,26.310000000000002,225.06415739948676,False,,,,,,,,,2,⚠️ WEAK
SOUN,False,False,False,AI,False,True,False,True,10731556.57333,True,89.55,87.3,63,86.54,86.67,45,87.18,82.14,39,28,2025-06-30,10.73,6.52,4.210000000000001,5.209999999999999,5.209999999999999,48.55545200372786,False,,,,,,,,,3,⚠️ WEAK
TNL,False,False,False,TravelLeisure,False,True,False,False,147232.39067000002,False,62.0,46.15,26,63.64,66.67,3,50.0,100.0,2,1,2025-06-30,51.15,37.02,14.129999999999995,9.200000000000003,9.200000000000003,17.986314760508314,False,,,,,,,,,1,⚠️ WEAK
USAR,True,False,False,Other,False,True,False,False,733312.79184,False,89.47,89.47,19,93.75,93.33,15,91.67,88.89,12,9,2025-03-31,13.87,5.56,8.309999999999999,3.450000000000001,3.450000000000001,24.87382840663303,False,,,,,,,,,2,⚠️ WEAK
FTNT,True,False,False,Cybersecurity,False,True,False,False,2647852.04776,False,63.83,59.26,27,50.0,70.0,10,75.0,100.0,8,1,2024-09-30,77.55,54.57,22.979999999999997,6.769999999999996,6.769999999999996,8.729851708575108,False,2025-03-31,95.34,114.82,19.47999999999999,-11.02000000000001,11.02000000000001,11.558632263478088,False,2,⚠️ WEAK
ARGT,True,False,False,ArgentinaETF,False,True,False,False,323111.055905,False,56.82,43.75,16,50.0,0.0,0,0.0,0.0,0,0,2024-09-30,65.5,50.48,15.020000000000003,7.420000000000002,7.420000000000002,11.328244274809162,False,2025-06-30,80.72,95.79,15.070000000000007,-7.799999999999997,7.799999999999997,9.663032705649153,False,2,⚠️ WEAK
ARKQ,True,False,False,InnovationETF,False,True,False,False,126437.51682499998,False,53.49,47.62,21,66.67,0.0,2,100.0,0.0,1,0,2025-06-30,89.17,55.53,33.64,20.14,20.14,22.58607154872715,False,,,,,,,,,2,⚠️ WEAK
ARKK,False,False,False,InnovationETF,False,True,False,False,6443871.6126,True,75.0,75.0,32,65.22,63.64,11,75.0,0.0,4,1,2025-06-30,70.29,38.56,31.730000000000004,12.809999999999988,12.809999999999988,18.224498506188628,False,,,,,,,,,1,⚠️ WEAK
ARKX,True,False,False,SpaceETF,False,True,False,False,47920.074855,False,39.47,30.0,10,33.33,100.0,1,0.0,0.0,0,0,2025-06-30,24.16,15.07,9.09,3.6999999999999993,3.6999999999999993,15.31456953642384,False,,,,,,,,,2,⚠️ WEAK
BITQ,False,False,False,CryptoETF,False,True,False,False,43676.85235,False,80.0,75.0,44,71.88,60.0,25,58.82,80.0,17,15,2025-06-30,19.72,10.5,9.219999999999999,3.7600000000000016,3.7600000000000016,19.066937119675465,False,,,,,,,,,1,⚠️ WEAK
BUG,True,False,False,CybersecurityETF,False,True,False,False,81819.185185,False,53.49,60.0,15,66.67,0.0,0,0.0,0.0,0,0,2024-09-30,30.92,26.03,4.890000000000001,4.460000000000001,4.460000000000001,14.42432082794308,False,,,,,,,,,2,⚠️ WEAK
CPER,True,False,False,CopperETF,False,True,False,False,73608.489865,False,29.27,33.33,18,14.29,20.0,5,0.0,0.0,0,0,2024-09-30,28.35,24.7,3.650000000000002,1.0199999999999996,1.0199999999999996,3.5978835978835964,False,,,,,,,,,2,⚠️ WEAK
